Grade name,Course name,MS Seq,concat2,MS description,MS-short-desc,MS-short-desc-seq,Baseline CMD,Subject milestone
1,Telugu,3,1Telugu3,"Letters for vada, vala, kadava, padava",vada-vala-kadava-padava-letters,03-vada-vala-kadava-padava-letters,8,Telugu: 03-vada-vala-kadava-padava-letters
1,Telugu,4,1Telugu4,"Letters for tabala, udatha, balapam",tabala-udatha-balapam-letters,04-tabala-udatha-balapam-letters,9,Telugu: 04-tabala-udatha-balapam-letters
1,Telugu,5,1Telugu5,"Letters for jada, panasa",jada-panasa-letters,05-jada-panasa-letters,9,Telugu: 05-jada-panasa-letters
1,Telugu,6,1Telugu6,"Letters for araka, sanaga, ala, naga",araka-sanaga-ala-naga-letters,06-araka-sanaga-ala-naga-letters,10,Telugu: 06-araka-sanaga-ala-naga-letters
1,Telugu,7,1Telugu7,Letters for eeka and eega,eeka-eega-letters,07-eeka-eega-letters,9,Telugu: 07-eeka-eega-letters
1,Telugu,8,1Telugu8,Letters for aata and mancham,aata-mancham-letters,08-aata-mancham-letters,8,Telugu: 08-aata-mancham-letters
1,Telugu,9,1Telugu9,Letters for ooyala,ooyala-letters,09-ooyala-letters,9,Telugu: 09-ooyala-letters
1,Telugu,10,1Telugu10,"aa words kaakara, vaana",aa-words-kaakara-vaana,10-aa-words-kaakara-vaana,12,Telugu: 10-aa-words-kaakara-vaana
1,Telugu,11,1Telugu11,"aa and ee words, kaaki, teega",aa-ee-words-kaaki-teega,11-aa-ee-words-kaaki-teega,11,Telugu: 11-aa-ee-words-kaaki-teega
1,Telugu,12,1Telugu12,"u and oo words, aavu, chinukulu, elugubanti",u-oo-words-aavu-chinukulu-elugubanti,12-u-oo-words-aavu-chinukulu-elugubanti,10,Telugu: 12-u-oo-words-aavu-chinukulu-elugubanti
1,Telugu,13,1Telugu13,"i words, ituka, inumu, isuka",i-words-ituka-inumu-isuka,13-i-words-ituka-inumu-isuka,8,Telugu: 13-i-words-ituka-inumu-isuka
